Index       TIME              V(42)      
0        0.00000000e+00    7.30633419e-01
1        5.00000000e-07    7.30633419e-01
2        1.50000000e-06    7.30633419e-01
3        3.50000000e-06    7.30633419e-01
4        7.50000000e-06    7.30633419e-01
5        1.55000000e-05    7.30633419e-01
6        2.55000000e-05    7.30633419e-01
7        3.55000000e-05    7.30633419e-01
8        4.55000000e-05    7.30633419e-01
9        5.55000000e-05    7.30633419e-01
10       6.55000000e-05    7.30633419e-01
11       7.55000000e-05    7.30633419e-01
12       8.55000000e-05    7.30633419e-01
13       9.55000000e-05    7.30633419e-01
14       1.00000000e-04    7.30633419e-01
End of Xyce(TM) Simulation
